Name,Quantity,Price,Thumbnail_Image,Full_Product_Image,Detailed_Description,Image_File_Name
Bitter Gourd (Karela),(250-300) g,₹14,"https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/app/assets/products/sliding_images/jpeg/81e041b4-4211-4d73-ba0f-dd2d2563d0e6.jpg?ts=1711472719","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/assets/products/sliding_images/jpeg/81e041b4-4211-4d73-ba0f-dd2d2563d0e6.jpg?ts=1711472719",Bitter Gourd is often used in making dry vegetable curries. It is also taken in the form of juice as it contains many antioxidants and essential vitamins.,Bitter_Gourd__Karela_.jpg
Onion (Pyaz),(0.95-1.05) kg,₹36,"https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/app/assets/products/sliding_images/jpeg/a1ba074a-c085-4dd1-b4a4-2f247d6f211d.jpg?ts=1711010249","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/assets/products/sliding_images/jpeg/a1ba074a-c085-4dd1-b4a4-2f247d6f211d.jpg?ts=1711010249","Onion is a staple in India and are commonly chopped and used as an ingredient in various hearty warm dishes. They are versatile and can be baked, boiled, braised, grilled, fried, roasted, sautéed, or eaten raw in salads.",Onion__Pyaz_.jpg
Desi Tomato (Tamaatar),500 g,₹20,"https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/4e45920b-2735-4264-86e9-be98453147ea.jpg?ts=1747734128","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/da/cms-assets/cms/product/4e45920b-2735-4264-86e9-be98453147ea.jpg?ts=1747734128","Tomatoes are a significant source of umami flavor.The tomato is consumed in diverse ways, raw or cooked, in many dishes, sauces, salads, and drinks. While tomatoes are fruits—botanically classified as berries—they are commonly used culinarily as a vegetable ingredient or side dish.",Desi_Tomato__Tamaatar_.jpg
Beetroot (Chukandar),(500-600) g,₹28,"https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/app/assets/products/sliding_images/jpeg/a68103f6-9518-454b-aa1a-9d068ac33ffc.jpg?ts=1711472827","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/assets/products/sliding_images/jpeg/a68103f6-9518-454b-aa1a-9d068ac33ffc.jpg?ts=1711472827","Beetroot pulp has a sweet taste and it is usually of a dark crimson red colour with purple tinges. The rich flesh of this vegetable is naturally sweet and nutritious, and adds its own touch to dishes ranging from Salads to Soups.",Beetroot__Chukandar_.jpg
Green Lettuce,(150-200) g,₹53,"https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/app/images/products/sliding_image/344275a.jpg?ts=1696330730","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/images/products/sliding_image/344275a.jpg?ts=1696330730","Lettuce is a crisp, leafy green vegetable commonly used in salads and sandwiches. It has a mild flavor and adds freshness and texture to dishes. Enjoy lettuce raw in salads or as a wrap for sandwiches for a refreshing addition to meals.",Green_Lettuce.jpg
Garlic (Lehsun),200 g,₹38,"https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/app/assets/products/sliding_images/jpeg/49dcdecd-4ef2-4de2-8a84-23b08e68a00b.jpg?ts=1733121236","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/assets/products/sliding_images/jpeg/49dcdecd-4ef2-4de2-8a84-23b08e68a00b.jpg?ts=1733121236","Garlic is a herb, best known for flavouring and seasoning of food and is widely used in various cuisines ranging from desi cuisines like Tadka Dal to dishes such as Garlic Bread. Garlic seems to be used in virtually all cuisines as a strong flavoring agent.",Garlic__Lehsun_.jpg
Safal Sweet Corn (Frozen),500 g,₹90,"https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/app/assets/products/sliding_images/jpeg/caea5bef-76a6-4e19-abb9-344bfeca985e.jpg?ts=1723374843","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/assets/products/sliding_images/jpeg/caea5bef-76a6-4e19-abb9-344bfeca985e.jpg?ts=1723374843","Healthy and nutritious, Safal Sweet Corn makes for a versatile kitchen ingredient. It can be grilled, steamed or boiled and served with seasoning. It is also used in the preparation of pizza, pasta, gravies, cakes, Pulao, custards, etc.",Safal_Sweet_Corn__Frozen_.jpg
Red Bell Pepper,1 piece (125-175 g),₹54,"https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/app/assets/products/sliding_images/jpeg/2cf767f3-867a-4330-a319-b9c6ebc81613.jpg?ts=1711472824","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/assets/products/sliding_images/jpeg/2cf767f3-867a-4330-a319-b9c6ebc81613.jpg?ts=1711472824","Red bell peppers or red capsicum are commonly used in cooking due to their versatility and appealing taste. They can be eaten raw in salads, sliced as a snack, or cooked in various dishes such as stir-fries, fajitas, soups, and roasted vegetables.",Red_Bell_Pepper.jpg
Green Peas (Matar),250 g,₹45,"https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/app/assets/products/sliding_images/jpeg/259fecd2-ccc0-434f-938f-61c10ed44b3d.jpg?ts=1711017375","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/app/assets/products/sliding_images/jpeg/259fecd2-ccc0-434f-938f-61c10ed44b3d.jpg?ts=1711017375","These fresh tiny pods have a tender and a slightly sweet taste. Green Peas have a rich green colour and a starchy texture which makes it a perfect add-on to any dish. They are best paired with onions, potatoes for making yummy Indian delicacies such as kebabs and aromatic Pulao.",Green_Peas__Matar_.jpg
Bottle Gourd (Lauki),1 piece (400-600 g),₹33,"https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/ed7caf57-c3cd-4268-b5f8-753a744233e4.jpg?ts=1745410335","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=480,h=480/da/cms-assets/cms/product/ed7caf57-c3cd-4268-b5f8-753a744233e4.jpg?ts=1745410335","Bottle gourd is used most often in cooked applications and can be sautéed, fried, pickled or grilled. Bottle Gourd is used a lot in Indian preparations. With a short cooking time, it is often found in soups, stir fried, dal or simply served as a sabzi.",Bottle_Gourd__Lauki_.jpg
